,מספר זיהוי,שם מעיין,שם מעיין באנגלית,תחילת תצפית,X נ.צ נביעה,Y נ.צ נביעה,רום הנביעה,מקום מדידה,שם אקויפר,קוד אקויפר,שם תא דיווח,קוד תא דיווח
,18259,חנדק,,2011,213200,629900,580,לא נמדד,קנומן תחתון,500,עין כרם,212
,18260,אל חוור (יסודות),EL HAWAR (YESODOT),1949,185200,636020,0,לא נמדד,איאוקן,300,לכיש,170
,18264,עינות עמינדב,,2011,212750,629100,715,לא נמדד,קנומן - טורון,400,עין כרם,212
,18266,אשקף,,2011,212122,629385,560,לא נמדד,קנומן תחתון,500,עין כרם,212
,18268,שלמון,,2011,212400,628500,725,לא נמדד,קנומן - טורון,400,עין כרם,212
,18269,סעדים,,2011,212000,628900,710,לא נמדד,קנומן - טורון,400,עין כרם,212
,18270,מגנה,MAGANE,0,184400,632420,95,מעיין סקר,איאוקן,300,לכיש,170
,18271,אל בלד תחתון,,2011,214000,627600,650,לא נמדד,קנומן - טורון,400,עין כרם,212
,18272,כרמזן,,2011,216450,626100,0,לא נמדד,קנומן - טורון,400,חברון מזרח,665
,18273,אל בלד עליון,,2011,213770,628200,725,לא נמדד,קנומן - טורון,400,עין כרם,212
,18274,חנטש,,2011,216600,625700,0,לא נמדד,קנומן - טורון,400,חברון מזרח,665
,18275,אל בלד תיכון,,2011,209651,626281,690,לא נמדד,קנומן - טורון,400,עין כרם,212
,18276,מנהר,,2011,209700,626400,680,לא נמדד,קנומן - טורון,400,עין כרם,212
,18278,מסלע,,2011,209600,626200,685,לא נמדד,קנומן - טורון,400,עין כרם,212
,18281,אל-קוף,,2011,209770,629345,490,לא נמדד,קנומן תחתון,500,עין כרם,212
,18282,אמיר,,2011,218409,637678,750,נמדד באופן סדיר,קנומן - טורון,400,מצפה יריחו,662
,18283,עקור,,2011,207775,629500,455,לא נמדד,קנומן תחתון,500,עין כרם,212
,18284,קטלב,,2011,207400,627300,525,לא נמדד,קנומן תחתון,500,עין כרם,212
,18285,נם הרים דרומי,,2011,204875,627240,575,לא נמדד,קנומן - טורון,400,ירקון,211
,18286,דאר א-שיח',,2011,206450,628400,495,לא נמדד,קנומן תחתון,500,ירקון,211
,18287,רזיאל,,2011,206529,631539,690,לא נמדד,קנומן תחתון,500,עין כרם,212
,18288,יגור,,2011,205885,627225,630,לא נמדד,קנומן - טורון,400,ירקון,211
,18289,נס הרים צפון(הפירים),,2011,204580,628160,630,לא נמדד,קנומן - טורון,400,ירקון,211
,18290,חוד,,2011,205280,627080,615,לא נמדד,קנומן - טורון,400,ירקון,211
,18291,עינות בוקר,Boker Springs,2011,205550,631965,565,מעיין סקר,קנומן תחתון,500,ירקון,211
,18292,אל בירכה,,2011,205200,626500,620,לא נמדד,קנומן - טורון,400,ירקון,211
,18293,כסלון,,2011,205036,631644,570,לא נמדד,קנומן תחתון,500,ירקון,211
,18294,ספלה,,2011,204300,626900,580,לא נמדד,קנומן - טורון,400,ירקון,211
,18295,שייח אחמד,,2011,204185,631985,575,לא נמדד,קנומן - טורון,400,ירקון,211
,18296,דולב,,2011,202550,627300,425,לא נמדד,קנומן - טורון,400,ירקון,211
,18297,ע'רב,,2011,204395,631500,400,לא נמדד,קנומן תחתון,500,ירקון,211
,18605,ביכורה(בריכה תחתונה),BIKKURA,1999,212194,631033,569,נמדד באופן סדיר,קנומן תחתון,500,עין כרם,212
,18607,מנזר יוחנן במדבר(חבי,Monastery of St.John,2017,212503,630554,569,מעיין סקר,קנומן תחתון,500,עין כרם,212
,18608,סטף (בריכה עליונה),SATAF,2007,212144,630034,573,נמדד באופן סדיר,קנומן תחתון,500,עין כרם,212
,18610,קובי,KOBI,0,211227,625900,695,מעיין סקר,קנומן - טורון,400,עין כרם,212
,18620,יואל,YO'EL,0,209162,626838,660,מעיין סקר,קנומן - טורון,400,עין כרם,212
,18640,תעוז,TA'OZ,0,197940,634190,229,מעיין סקר,איאוקן,300,לכיש,170
,18650,נוער,NOAR,0,196150,631430,260,מעיין סקר,איאוקן,300,לכיש,170
,18660,מג'נה,MAJANA,0,186100,632200,94,מעיין סקר,איאוקן,300,לכיש,170
,18670,חואר,HUAR,0,186020,635200,69,מעיין סקר,איאוקן,300,לכיש,170
,19220,ענקר,ANQAR,1993,206900,601870,840,לא נמדד,קנומן - טורון,400,עין כרם,212
,19222,סעבייה,Sa'abiya,2009,203208,604193,610,נמדד באופן סדיר,קנומן תחתון,500,חברון מערב,221
,19223,מעמדייה,Ma'amudia,2009,203908,604435,690,נמדד באופן סדיר,קנומן תחתון,500,חברון מערב,221
,19225,כנר מערבי,KINNAR WESTERN,1965,204900,601500,810,נמדד באופן סדיר,קנומן - טורון,400,חברון מערב,221
,19228,אל פרעה,Al-Fara,2009,201485,605910,570,נמדד באופן סדיר,קנומן תחתון,500,חברון מערב,221
,19240,חסכה,HASKHA,1959,208650,608130,890,נמדד באופן סדיר,קנומן - טורון,400,חברון מזרח,665
,19244,צאנן,TZANAN,2021,196234,611730,340,נמדד באופן סדיר,איאוקן,300,לכיש,170
,19246,גוברין,GUVRIN,2021,189315,613147,240,נמדד באופן סדיר,איאוקן,300,לכיש,170
,19260,בקר,BAQAR,1959,207500,612600,850,נמדד באופן סדיר,קנומן - טורון,400,חברון מערב,221
,19270,מסלע (אבו כלאב),,2011,210760,619650,0,לא נמדד,קנומן תחתון,500,הרודיון,666
,19273,ליבנה,Livna,2009,209300,619050,720,נמדד באופן סדיר,קנומן תחתון,500,עין כרם,212
,19275,חובילה,Chovila,2009,210282,618576,875,נמדד באופן סדיר,קנומן תחתון,500,עין כרם,212
,19276,סג'מה,Sajma,2009,210466,618573,875,נמדד באופן סדיר,קנומן תחתון,500,עין כרם,212
,19280,אל קסיס,,2011,213440,620470,0,לא נמדד,קנומן תחתון,500,הרודיון,666
,19283,נחלין,NAHALIN,1960,211150,621800,610,נמדד באופן סדיר,קנומן - טורון,400,עין כרם,212
,19291,מע'רה,MAGHARA (WADI FUKIN),1960,210338,623340,650,לא נמדד,קנומן - טורון,400,עין כרם,212
,19292,ג'ורה,GURA (WADI FUKIN),1960,208674,622616,573,נמדד באופן סדיר,קנומן - טורון,400,עין כרם,212
,19293,פוכין,FUKIN,1960,209890,623770,665,נמדד באופן סדיר,קנומן - טורון,400,עין כרם,212
,19294,צדיק,ZADIK,1947,208464,622502,575,נמדד באופן סדיר,קנומן - טורון,400,עין כרם,212
,19296,פרס,FARES,1983,209500,622050,212,נמדד באופן סדיר,קנומן - טורון,400,עין כרם,212
,19298,פאוור (ו. פוכין),FAWAR (WADI FUKIN),0,208740,622640,570,לא נמדד,קנומן - טורון,400,עין כרם,212
,19310,גרס תחתון,,2011,206700,624500,0,לא נמדד,קנומן - טורון,400,ירקון,211
,19311,גרס עליון,,2011,206745,624520,0,לא נמדד,קנומן - טורון,400,ירקון,211
,19605,הפרפר,HAPARPAR,0,186320,615230,189,מעיין סקר,איאוקן,300,לכיש,170
,19620,תל צפית,TEL ZAFIT,0,188000,624100,149,מעיין סקר,איאוקן,300,לכיש,170
,23306,אימרן1-,IMRAN-1,1959,204650,600350,790,לא נמדד,קנומן - טורון,400,חברון מערב,221
,23307,אימרן2-,IMRAN-2,1959,204700,600250,790,לא נמדד,קנומן - טורון,400,חברון מערב,221
,23308,אימרן,IMRAN,0,204700,600300,790,לא נמדד,קנומן - טורון,400,חברון מערב,221
,23310,דילבה,DILBAH,1962,204860,599140,770,נמדד באופן סדיר,קנומן - טורון,400,חברון מערב,221
,30410,תאו,TEO,1948,253480,781960,70,נמדד באופן סדיר,קנומן תחתון,500,הרי נפתלי,520
,30415,קדש,QADESH,1948,249850,779720,440,מעיין סקר,קנומן - טורון,400,הרי נפתלי,520
,30430,עינן,ENAN,1934,253930,776550,90,לא נמדד,קנומן - טורון,400,הרי נפתלי,520
,30450,איברהים ובלט,IBRAHIM AND BALAT,1969,269600,782600,840,מעיין סקר,ניאוגן - מילוי,200,רמת הגולן,570
,30460,וסט,VEST,1974,268500,782500,810,נמדד באופן סדיר,ניאוגן - מילוי,200,רמת הגולן,570
,30490,להבות (שלמה),LAHAVOT (SHELOMO),1959,261250,782900,0,לא נמדד,ניאוגן - בזלת,250,רמת הגולן,570
,30491,להבות,LEHAVOT,1943,261280,782920,130,נמדד באופן סדיר,ניאוגן - מילוי,200,רמת הגולן,570
,30492,הטוחן,HATOHEN,1968,261150,782840,0,לא נמדד,ניאוגן - בזלת,250,רמת הגולן,570
,30497,קומרן,QOMRAN,1949,261220,782480,0,לא נמדד,ניאוגן - בזלת,250,רמת הגולן,570
,30499,עדרים,ADARIM,1959,260780,782240,78,מעיין סקר,ניאוגן - מילוי,200,רמת הגולן,570
,30515,גונן,GONEN,1945,261020,779520,155,נמדד באופן סדיר,קנומן תחתון,500,רמת הגולן,570
,30520,גוש חלב (ג'יש),GUSH HALAV (JISH),1948,242470,770140,695,מעיין סקר,סנון,350,מלכיה,530
,30522,עלווה,ALVA,1997,242750,770960,679,מעיין סקר,איאוקן,300,מלכיה,530
,30523,עובה עליונה,UBA UPPER,1964,244980,775180,0,לא נמדד,איאוקן,300,מלכיה,530
,30525,אביב,AVIV,1949,246300,775360,400,נמדד באופן סדיר,איאוקן,300,מלכיה,530
,30527,דישון,DISHON,1949,248000,775940,460,מעיין סקר,קנומן - טורון,400,הרי נפתלי,520
,30530,איילת השחר,AYYELET HASHAHAR,1951,254200,769400,170,נמדד באופן סדיר,ניאוגן - מילוי,200,עמק החולה,550
,30535,דבשה,DIVSHA,1943,260900,777320,170,נמדד באופן סדיר,קנומן תחתון,500,רמת הגולן,570
,30538,נוטרה,NOTERA,1944,260600,776200,90,נמדד באופן סדיר,ניאוגן - מילוי,200,רמת הגולן,570
,30567,דרדרה (חולתא),DARDARA (HULATA),1986,260360,772690,100,נמדד באופן סדיר,ניאוגן - מילוי,200,רמת הגולן,570
,30568,ג'לבינה,JALABINA,1945,260500,772400,90,נמדד באופן סדיר,ניאוגן - מילוי,200,רמת הגולן,570
,30570,דוריג'ת,DURIJAT,1970,259500,769900,110,נמדד באופן סדיר,ניאוגן - מילוי,200,רמת הגולן,570
,30580,עלמין ג'דידה,ALMIN JEDIDA,1945,260200,766700,170,נמדד באופן סדיר,ניאוגן - מילוי,200,רמת הגולן,570
,30590,משפע,MASHEFA,1987,259210,757120,-200,נמדד באופן סדיר,ניאוגן - מילוי,200,כורזים,560
,30645,קומראן,KUMRAN,0,261300,782500,124,מעיין סקר,ניאוגן - מילוי,200,רמת הגולן,570
,30648,מימון,MAYMUN,0,261900,779800,259,מעיין סקר,ניאוגן - מילוי,200,רמת הגולן,570
,30650,צמוד,ZAMUD,0,261500,776830,277,מעיין סקר,ניאוגן - מילוי,200,רמת הגולן,570
,30652,פג'ר,FAJER,0,261000,774500,158,מעיין סקר,ניאוגן - מילוי,200,רמת הגולן,570
,30655,עלומים,ALUMIM,0,255440,775370,79,מעיין סקר,ניאוגן - מילוי,200,עמק החולה,550
,30658,ערבות,ARAVOT,0,241700,773200,567,נמדד באופן סדיר,איאוקן,300,מלכיה,530
,30660,גרגר,GARGER,0,241500,772630,548,מעיין סקר,קנומן - טורון,400,הרי נפתלי,520
,30665,ואדי ג'יש,WADI JISH,0,242380,771080,630,מעיין סקר,קנומן - טורון,400,הרי נפתלי,520
,30668,רחו,RAHU,0,242340,770700,662,מעיין סקר,קנומן - טורון,400,הרי נפתלי,520
,30670,ברדי,BARADI,0,242260,770560,690,מעיין סקר,קנומן - טורון,400,הרי נפתלי,520
,30672,בנות יעקב,BENOT YA'AKOV,0,259000,770000,71,מעיין סקר,ניאוגן - מילוי,200,עמק החולה,550
,30674,ירדה,YARDA,1949,255400,768170,184,מעיין סקר,ניאוגן - בזלת,250,עמק החולה,550
,30678,פארעם,PE'ER'AM,0,249350,765230,611,מעיין סקר,איאוקן,300,נטופה חיטין,591
,30680,כידן,KEIDAN,0,249750,764040,548,לא נמדד,איאוקן,300,ראש פינה,540
,30682,ראש פינה,ROSH PINA,0,249380,764120,603,לא נמדד,איאוקן,300,ראש פינה,540
,30684,גיא אוני,GEI ONI,0,249120,764200,695,לא נמדד,איאוקן,300,ראש פינה,540
,30685,עינות ראש פינה סיכום,Rosh Pina SUM,0,249700,764000,600,נמדד באופן סדיר,איאוקן,300,ראש פינה,540
,30690,עינות חמם,HAMMAM,0,258300,762300,0,מעיין סקר,ניאוגן - מילוי,200,כורזים,560
,31201,כרי-דשא ערוץ1*,KAREI-DESHE STREAM 1,1986,251200,752670,0,מעיין סקר,קנומן - טורון,400,חוף כנרת,592
,31203,כרי-דשא ערוץ 2*,KAREI-DESHE STREAM 2,1986,251210,752660,0,מעיין סקר,קנומן - טורון,400,חוף כנרת,592
,31205,כרי-דשא ערוץ 3*,KAREI-DESHE STREAM 3,1986,251200,752660,0,מעיין סקר,קנומן - טורון,400,חוף כנרת,592
,31207,כרי-דשא ערוץ 4*,KAREI-DESHE STREAM 4,1986,251200,752620,0,מעיין סקר,קנומן - טורון,400,חוף כנרת,592
,31210,נביעות שבע-מעין איוב,Sheva SprFlow-Yoev,1994,252000,753160,0,מעיין סקר,קנומן - טורון,400,חוף כנרת,592
,31212,נביעות שבע - חוף,Sheva SprFlowCoastal,1979,252000,753120,0,מעיין סקר,קנומן - טורון,400,חוף כנרת,592
,31213,קידוח 7+נביעות במורד,WELL 7 + STREAMS DOW,1994,252200,753140,0,לא נמדד,קנומן - טורון,400,חוף כנרת,592
,31214,שבע ערוץ 1 *,SHEVA STREAM 1 *,1994,252000,753160,0,לא נמדד,קנומן - טורון,400,חוף כנרת,592
,31216,שבע ערוץ 2 *,SHEVA STREAM 2 *,1994,252000,753120,0,לא נמדד,קנומן - טורון,400,חוף כנרת,592
,31220,שבע ערוץ 4 *,SHEVA STREAM 4 *,1994,252000,753080,0,לא נמדד,קנומן - טורון,400,חוף כנרת,592
,31223,נור-סרטן עיוור(מלוח),NUR Blind Crab,2007,251820,753230,-202,לא נמדד,קנומן תחתון,500,חוף כנרת,592
,31224,נור-מתוק,Nur Sweet,2007,251830,753230,-202,לא נמדד,קנומן תחתון,500,חוף כנרת,592
,31225,שבע,SHEVA,1946,251870,753150,-202,נמדד באופן סדיר,קנומן תחתון,500,חוף כנרת,592
,31227,ברבוטים,BARBUTIM,0,251409,751704,-220,לא נמדד,קנומן - טורון,400,חוף כנרת,592
,31228,כנרת7 (קידוח ארטזי),KINERET 7Artes. well,1965,252000,753140,-205,נמדד באופן סדיר,קנומן - טורון,400,חוף כנרת,592
,31235,כנר,KINNAR,1948,250750,752550,-200,לא נמדד,איאוקן,300,ראש פינה,540
,31245,פועם,PO'EM,1946,244400,764780,515,נמדד באופן סדיר,קנומן - טורון,400,נטופה חיטין,591
,31250,מירון,MEIRON,1949,241280,764900,695,נמדד באופן סדיר,קנומן - טורון,400,נטופה חיטין,591
,31251,ליד עין מירון,NEAR MEIRON SPRING,1955,241550,764910,0,לא נמדד,קנומן - טורון,400,נטופה חיטין,591
,31255,בר יוחאי,BAR YOHAY,1950,241650,764890,655,מעיין סקר,קנומן - טורון,400,נטופה חיטין,591
,31260,תרון,TARON,1946,243820,764610,530,מעיין סקר,קנומן - טורון,400,נטופה חיטין,591
,31262,יקים,YAQIM,1935,243880,764580,520,נמדד באופן סדיר,קנומן - טורון,400,נטופה חיטין,591
,31280,שמאי,SHAMMAY,1949,242600,763000,645,מעיין סקר,קנומן תחתון,500,נטופה חיטין,591
,31301,רמיאל,RAMI'EL,1948,241130,761260,630,נמדד באופן סדיר,קנומן תחתון,500,נטופה חיטין,591
,31305,פרוד,PAROD,1947,240360,760420,480,נמדד באופן סדיר,קנומן תחתון,500,נטופה חיטין,591
,31330,רביד,RAVID,0,244680,752400,-100,מעיין סקר,איאוקן,300,נטופה חיטין,591
,31335,נון,NUN,1945,248180,749720,-192,נמדד באופן סדיר,איאוקן,300,ראש פינה,540
,31340,פוליה נביעה 1,FULIYA 1*,1959,249560,746130,-211,מעיין סקר,קנומן - טורון,400,חוף כנרת,592
,31344,פוליה ערוץ1 בין1-ל5*,FULIYA STREAM 1 BETW,1994,249560,746120,0,מעיין סקר,קנומן - טורון,400,חוף כנרת,592
,31348,פוליה ערוץ3 בין1ל-5*,FULIYA STREAM 3 BETW,1994,249670,746000,0,מעיין סקר,קנומן - טורון,400,חוף כנרת,592
,31350,פוליה נביעה 5,FULIYA 5,1959,249630,746040,-208,מעיין סקר,קנומן - טורון,400,חוף כנרת,592
,31352,פוליה ערוץ4 בין5ל-6*,FULIYA STREAM 4 BETW,1994,249630,745990,0,מעיין סקר,קנומן - טורון,400,חוף כנרת,592
,31354,פוליה ערוץ5 בין5ל-6*,FULIYA STREAM 5 BETW,1994,249630,745980,0,מעיין סקר,קנומן - טורון,400,חוף כנרת,592
,31355,ארבל,ARBEL,1944,246220,747900,-140,נמדד באופן סדיר,איאוקן,300,ראש פינה,540
,31360,פוליה 6,FULIYA 6,1951,249630,745970,-205,מעיין סקר,קנומן - טורון,400,חוף כנרת,592
,31361,עינות קוצר,,2018,248050,745400,0,לא נמדד,ניאוגן - בזלת,250,יבנאל,620
,31362,פוליה ערוץ6בין6ל11*,FULIYA STREAM 6 BETW,1994,249630,745940,0,מעיין סקר,קנומן - טורון,400,חוף כנרת,592
,31364,פוליה נביעה 11,FULIYA 11,1950,249690,745930,-208,מעיין סקר,קנומן - טורון,400,חוף כנרת,592
,31365,חמי טבריה,HAMEY TVERIYA,1948,251900,741380,195,נמדד באופן סדיר,קרטיקון תחתון,600,חוף כנרת,592
,31372,פוליה דרום נביעה 1*,FULIA SOUTH 1,2000,249710,745920,-213,מעיין סקר,קנומן - טורון,400,חוף כנרת,592
,31373,פוליה דרום Bבצינור*,FULIYA SOUTH B*,2000,249710,745920,-209,מעיין סקר,קנומן - טורון,400,חוף כנרת,592
,31376,פוליה דרום נביעה 2,FULIYA SOUTH 2,2000,249730,745880,-214,מעיין סקר,קנומן - טורון,400,חוף כנרת,592
,31378,פוליה ד' ע'2ביןAל3*,FULIYA SOUTH STREAM2,2000,249710,745870,-212,מעיין סקר,קנומן - טורון,400,חוף כנרת,592
,31380,פוליה ד' ע'3ביןAל3*,FULIYA SOUTH STREAM3,2000,249720,745840,-212,מעיין סקר,קנומן - טורון,400,חוף כנרת,592
,31382,פוליה ד' ע'4בין Aל3*,FULIYA SOUTH STREAM4,2000,249720,745830,-212,מעיין סקר,קנומן - טורון,400,חוף כנרת,592
,31384,פוליה ד' ע'5 ביןAל3*,FULIYA SOUTH STREAM5,2000,249720,745820,-212,מעיין סקר,קנומן - טורון,400,חוף כנרת,592
,31386,פוליה דרום נביעה 3,FULIYA SOUTH 4,2000,249730,745820,-212,מעיין סקר,קנומן - טורון,400,חוף כנרת,592
,31388,פוליה ד' ע'6 דר' ל3*,FULIYA SOUTH STREAM6,2000,249740,745760,-212,מעיין סקר,קנומן - טורון,400,חוף כנרת,592
,31405,סנבר,SANABIR,1968,263000,767800,310,נמדד באופן סדיר,ניאוגן - מילוי,200,רמת הגולן,570
,31408,דורה,DURA,0,262400,766300,210,מעיין סקר,ניאוגן - מילוי,200,רמת הגולן,570
,31418,דרדרה (משושים),DARDARA (MESHUSHIM),1969,261500,757800,-130,מעיין סקר,ניאוגן - מילוי,200,רמת הגולן,570
